,Food label,Subs A,Subs B,True label
36,"CHEESE SPRD,AMERICAN OR CHEDDAR CHS BASE,RED FAT","CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,FAT-FREE","EGG,WHL,CKD,HARD-BOILED",Sub B
37,"ALLSPICE,GROUND","ROSEMARY,FRESH",DILL SEED,Sub B
38,"SPICES,BAY LEAF","DILL WEED,DRIED","MARJORAM,DRIED",Sub B
39,CELERY SEED,DILL SEED,"SPICES,CARDAMOM",Sub B
40,CHILI POWDER,"PEPPER,RED OR CAYENNE","SPICES,CARDAMOM",Sub B
41,"CLOVES,GROUND","ALLSPICE,GROUND","SPICES,CARDAMOM",Sub B
42,"CORIANDER LEAF,DRIED","PEPPERMINT,FRESH",DILL SEED,Sub B
43,CUMIN SEED,"SPICES,CARDAMOM",ANISE SEED,Sub A
44,"DILL WEED,DRIED","SPICES,TARRAGON,DRIED","MARJORAM,DRIED",Sub B
45,FENNEL SEED,DILL SEED,"THYME,FRSH",Sub B
46,"GINGER,GROUND","PEPPERMINT,FRESH","SPICES,TARRAGON,DRIED",Sub A
47,"NUTMEG,GROUND","MARJORAM,DRIED","SPICES,TARRAGON,DRIED",Sub A
48,"SPICES,OREGANO,DRIED","THYME,FRSH","SPICES,CARDAMOM",Sub A
49,POULTRY SEASONING,"SPICES,TARRAGON,DRIED","MARJORAM,DRIED",Sub B
50,PUMPKIN PIE SPICE,"ALLSPICE,GROUND",ONION POWDER,Sub B
51,SAFFRON,"PEPPER,WHITE","PEPPER,BLACK",Sub A
52,"SAGE,GROUND",DILL SEED,GARLIC POWDER,Sub A
53,"SAVORY,GROUND",FENNEL SEED,"THYME,FRSH",Sub B
54,"SPICES,THYME,DRIED",FENNEL SEED,"MARJORAM,DRIED",Sub B
55,"BASIL,FRESH","SPICES,OREGANO,DRIED",DILL SEED,Sub B
56,"ROSEMARY,FRESH","SPICES,OREGANO,DRIED","THYME,FRSH",Sub B
57,"SPEARMINT,DRIED","MARJORAM,DRIED","SPICES,TARRAGON,DRIED",Sub A
58,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS","BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR","INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA",Sub A
59,"BABYFOOD,MEAT,MEAT STKS,JR","BABYFOOD,JUC,APPL&CHERRY","BABYFOOD,VEG,PEAS,STR",Sub B
60,"BABYFOOD,JUC,MXD FRUIT","BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR","BABYFOOD,MEAT,LAMB,JUNIOR",Sub B
61,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN","INF FORMULA, ABBO NUTR,SIMIL,ISOMIL, ADVANCE W/ IRON,RTF","BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR",Sub A
62,"INF FORM,ME JOHNS,ENFAM,LIP,LO IRON,LIQ CONC,W/ ARA & DHA","BABYFOOD,MEAT,CHICK,JR","INF FORMULA,MEJOHN,PROSOBE LIPI,W/ IRO,RE TO FE,W/ ARA & DHA",Sub A
63,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON","INF FORMULA, GERBER, GOOD START 2,PROTECT PLUS, RTF","BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",Sub A
64,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","BABYFOOD,DSSRT,PEACH MELBA,STR","BABYFD,FRU,BAN AND STRAW, JU",Sub A
65,"INFFORMULA, MEAD JOHNS,ENFAMIL,PROSOB,LIPI,LC,NOTREC,ARA&DHA","BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR","INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC",Sub A
66,"INF FORMULA,NESTLE,GOOD START SOY,W/ ARA & DHA,PDR","INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT","BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",Sub A
67,"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,PDR","INF FORMULA, AB NUT, SIM, SP CA, ADV 24,W/ IR, RT,W/ AR & DH","BABYFOOD,CRL,EGG YOLKS&BACON,JR",Sub B
68,"INF FORMULA, MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON","BABYFOOD,VEG,SWT POTATOES,JR","INF FORMULA, MEAD JOHNSON, ENFAMIL, ENFAGROW, SOY, TODD RTF",Sub A
69,"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA","INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF","BABYFOOD,DINNER,VEG&HAM,STR",Sub B
70,"INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON","INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA","BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR",Sub A
71,"INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC","INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,LC,NOT RECON","BABYFOOD,PRETZELS",Sub B
72,"INF FORMULA, ABB NUTR, SIMI, ISOMI, ADVAN W/ IRO ,PD,NOT REC","BABYFOOD,DINNER,VEG&HAM,STR","BABYFOOD,DINNER,MXD VEG,JR",Sub A
73,"INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,LIQ CONC","BABYFOOD,MEAT,HAM,JUNIOR","BABYFOOD,BANANA APPL DSSRT,STR",Sub A
74,"TODDL FORM,ME JOHN,ENFA,PREM (FORME ENL,LIPIL,NEXT STEP),PDR","BABYFOOD,JUC,ORANGE&APPL","INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",Sub A
75,"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN AA,RTF","BABYFOOD,PEAS&BROWN RICE","BABYFOOD,MEAT,LAMB,STR",Sub A
76,"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMATURE,20 CAL RTF","BABYFOOD,MEAT,HAM,JUNIOR","BABYFOOD,DINNER,CHICK NOODLE,JR",Sub A
77,"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA","BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR","BABYFOOD,JUC,ORANGE&APPL&BANANA",Sub A
78,"OIL,WHEAT GERM","OIL,ALMOND","OIL,CANOLA",Sub B
79,"MARGARINE,REG,HARD,SOYBN (HYDR)","USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",LARD,Sub A
80,"ANIMAL FAT,BACON GREASE","OIL,SOYBN LECITHIN","SALAD DRSNG,MAYO,LT",Sub B
81,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,RUSSIAN DRSNG","SALAD DRSNG,SESAME SD DRSNG,REG",Sub A
82,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT","OIL,AVOCADO",Sub A
83,"SALAD DRSNG,POPPYSEED,CREAMY","SALAD DRSNG,MAYO,IMITN,SOYBN","MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",Sub A
84,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD","TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD",Sub A
85,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW","TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD",Sub B
86,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD","CHICKEN,ROASTING,MEAT ONLY,RAW","TURKEY,HEART,ALL CLASSES,RAW",Sub A
87,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,RSTD","TURKEY,GIZZARD,ALL CLASSES,RAW","CHCKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCED,GRILLD",Sub A
88,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW","CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD","DUCK,DOMESTICATED,LIVER,RAW",Sub B
89,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,FLR","OSTRICH,INSIDE LEG,RAW","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD",Sub A
90,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD","TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",Sub A
91,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD","CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD","TURKEY,WHL,MEAT ONLY,CKD,RSTD",Sub A
92,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD","TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RSTD",Sub A
93,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,FRIED","CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW",Sub B
94,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,RSTD","GOOSE,LIVER,RAW","TURKEY,RTL PARTS,THIGH,MEAT & SKN,RAW",Sub A
95,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW","TURKEY,HEART,ALL CLASSES,CKD,SIMMRD",Sub A
96,"DUCK,DOMESTICATED,MEAT&SKN,CKD,RSTD","TURKEY,WING,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","TURKEY,RTL PARTS,BREAST,MEAT & SKN,CKD,RSTD",Sub A
97,"PHEASANT,RAW,MEAT&SKN","TURKEY,FRYER-ROASTERS,MEAT&SKN,CKD,RSTD","OSTRICH,FAN,RAW",Sub B
98,"TURKEY,WHL,GIBLETS,RAW","DUCK,WILD,BREAST,MEAT ONLY,RAW","TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW",Sub A
99,"TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD","TURKEY,BACK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",Sub A
100,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW","TURKEY FROM WHL,LT MEAT,MEAT & SKN,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW",Sub B
101,"TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW","TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT & SKN,RAW","EMU,GROUND,RAW",Sub B
102,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)","CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW","CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",Sub A
103,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE","TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",Sub B
104,"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD","TURKEY,WHL,MEAT & SKN,CKD,RSTD","CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD",Sub B
105,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,FLR","QUAIL,MEAT ONLY,RAW",Sub B
106,"TURKEY,ENHANCED,SKN FROM WHL (LIGHT & DARK),RAW","CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR",Sub B
107,"TURKEY,ENHANCED,SKN FROM WHL,(LIGHT & DARK),RSTD","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD","TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD",Sub A
108,"TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD","OSTRICH,INSIDE LEG,RAW","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD",Sub A
109,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND","CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP","CAMPBELL'S SOUP ON THE GO,VEG BF SOUP",Sub A
110,"SOUP,CRM OF CHICK,CND,COND","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND","SAUCE,SALSA,RTS",Sub A
111,"SOUP,CHICK W/ RICE,CND,COND","CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER","SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",Sub A
112,"SOUP,CHICK VEG,CND,COND","CAMPBELL'S CHNKY,HEALTHY REQUST MICROWAVBL ,CHICK NODLE SOUP","CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",Sub A
113,"CAMPBELL'S,CHEDDAR CHS SOUP,COND","SOUP,CRM OF MUSHROOM,LO NA,RTS,CND","PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS",Sub A
114,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,"SOUP,BF & VEG,RED NA,CND,RTS",Sub B
115,"SOUP,MUSHROOM BARLEY,CND,COND","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","SOUP,CHICK,CND,CHUNKY,RTS",Sub B
116,"SOUP,CRM OF POTATO,CND,COND","SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",CAMPBELL'S HOMESTYLE LT ITALIAN-STYLE WEDDING SOUP,Sub B
117,"SOUP,TOMATO RICE,CND,COND","SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",Sub B
118,"SOUP,BEEF BROTH,CUBED,DRY","SWANSON BROTH,VEG BROTH","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",Sub B
119,"CAMPBELL'S RED & WHITE,BF BROTH,COND","CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",CAMPBELL'S MICROWAVABLE BF GRAVY,Sub A
120,"SAUCE,BARBECUE","SAUCE,SALSA,RTS","SOUP,STOCK,BEEF,HOME-PREPARED",Sub B
121,"SAUCE,RTS,PEPPER OR HOT","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","SOUP,CHICK,CND,CHUNKY,RTS",Sub B
122,"SAUCE,RTS,PEPPER,TABASCO","CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP","SOUP,CHICK NOODLE,CND,COND",Sub A
123,"SAUCE,HOISIN,RTS","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",Sub B
124,"CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND","PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS","CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND",Sub B
125,"CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND","SOUP,BF BROTH,CUBED,PREP W/H2O",Sub B
126,"PREGO PASTA,FRSH MUSHROOM ITAL SAU,RTS","SOUP,TURKEY,CHUNKY,CND,RTS","CAMPBELL'S,CHUNKY MICRO BOWLS,OLD FASH VEG BF,RTS",Sub B
127,"PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS","SOUP,TOMATO,LO NA,W/H2O","SOUP,CHICK NOODLE,RED NA,CND,RTS",Sub B
128,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME MILK","SOUP,BF & VEG,CND,RTS","CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND",Sub B
129,"CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND","CAMPBELL'S LO NA SOUPS,CHICK BROTH","CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX",Sub B
130,CAMPBELL'S GOLDEN PORK GRAVY,"SOUP,VEG W/ BF BROTH,CND,COND","CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS",Sub B
131,CAMPBELL'S MUSHROOM GRAVY,"CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP","SOUP,CHICK BROTH,CND,COND",Sub A
132,"CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O","CAMPBELL'S RED & WHITE,ITALIAN STYLE W",Sub A
133,"CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND","SMART SOUP,THAI COCNT CURRY","CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND",Sub A
134,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK","CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER","CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP",Sub A
135,"CAMPBELL'S,TOMATO SOUP,COND","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",Sub A
136,"CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND","SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",Sub B
137,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE","CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",Sub A
138,"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP","CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",Sub A
139,"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP","CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",Sub B
140,"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY","SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O","PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS",Sub A
141,"CAMPBELL'S SOUP ON THE GO,VEG BF SOUP","SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS","SOUP,CHUNKY CHICK NOODLE,CND,RTS",Sub A
142,"PACE,GRN TACO SAU","CAMPBELL'S,CRM OF POTATO SOUP,COND",CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,Sub B
143,"PACE,THICK & CHUNKY SALSA","CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND","SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME MILK",Sub B
144,"SAUCE,CHS SAU MIX,DRY","CAMPBELL'S SOUP ON THE GO,HR CHICK W/ MINI NOODLES SOUP","SOUP,CHICK & VEG,CND,RTS",Sub A
145,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND","CAMPBELLS RED & WHITE,BF CONSOMME,COND","SOUP,VEG BF,CND,COND,SINGLE BRAND",Sub B
146,"GRAVY,BROWN INST,DRY","PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS","CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",Sub B
147,"GRAVY,INST TURKEY,DRY","SOUP,HEALTHY CHOIC CHICK NOODLE SOUP,CND","SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",Sub A
148,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS","SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS","SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",Sub A
149,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",Sub A
