,Food label,Subs A,Subs B
38,"SPICES,BAY LEAF","DILL WEED,DRIED","MARJORAM,DRIED"
39,CELERY SEED,DILL SEED,"SPICES,CARDAMOM"
40,CHILI POWDER,"SPICES,CARDAMOM","PEPPER,RED OR CAYENNE"
41,"CLOVES,GROUND","ALLSPICE,GROUND","SPICES,CARDAMOM"
42,"CORIANDER LEAF,DRIED",DILL SEED,"PEPPERMINT,FRESH"
43,CUMIN SEED,"SPICES,CARDAMOM",ANISE SEED
44,"DILL WEED,DRIED","MARJORAM,DRIED","SPICES,TARRAGON,DRIED"
45,FENNEL SEED,DILL SEED,"THYME,FRSH"
46,"GINGER,GROUND","PEPPERMINT,FRESH","SPICES,TARRAGON,DRIED"
47,"NUTMEG,GROUND","MARJORAM,DRIED","SPICES,TARRAGON,DRIED"
48,"SPICES,OREGANO,DRIED","SPICES,CARDAMOM","THYME,FRSH"
49,POULTRY SEASONING,"MARJORAM,DRIED","SPICES,TARRAGON,DRIED"
50,PUMPKIN PIE SPICE,"ALLSPICE,GROUND",ONION POWDER
51,SAFFRON,"PEPPER,WHITE","PEPPER,BLACK"
52,"SAGE,GROUND",GARLIC POWDER,DILL SEED
53,"SAVORY,GROUND",FENNEL SEED,"THYME,FRSH"
54,"SPICES,THYME,DRIED",FENNEL SEED,"MARJORAM,DRIED"
55,"BASIL,FRESH",DILL SEED,"SPICES,OREGANO,DRIED"
56,"ROSEMARY,FRESH","SPICES,OREGANO,DRIED","THYME,FRSH"
57,"SPEARMINT,DRIED","SPICES,TARRAGON,DRIED","MARJORAM,DRIED"
58,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS","INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA","BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR"
59,"BABYFOOD,MEAT,MEAT STKS,JR","BABYFOOD,JUC,APPL&CHERRY","BABYFOOD,VEG,PEAS,STR"
60,"BABYFOOD,JUC,MXD FRUIT","BABYFOOD,MEAT,LAMB,JUNIOR","BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR"
61,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN","INF FORMULA, ABBO NUTR,SIMIL,ISOMIL, ADVANCE W/ IRON,RTF","BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR"
62,"INF FORM,ME JOHNS,ENFAM,LIP,LO IRON,LIQ CONC,W/ ARA & DHA","INF FORMULA,MEJOHN,PROSOBE LIPI,W/ IRO,RE TO FE,W/ ARA & DHA","BABYFOOD,MEAT,CHICK,JR"
63,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON","BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR","INF FORMULA, GERBER, GOOD START 2,PROTECT PLUS, RTF"
64,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","BABYFD,FRU,BAN AND STRAW, JU","BABYFOOD,DSSRT,PEACH MELBA,STR"
65,"INFFORMULA, MEAD JOHNS,ENFAMIL,PROSOB,LIPI,LC,NOTREC,ARA&DHA","INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC","BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR"
66,"INF FORMULA,NESTLE,GOOD START SOY,W/ ARA & DHA,PDR","INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT","BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR"
67,"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,PDR","INF FORMULA, AB NUT, SIM, SP CA, ADV 24,W/ IR, RT,W/ AR & DH","BABYFOOD,CRL,EGG YOLKS&BACON,JR"
68,"INF FORMULA, MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON","INF FORMULA, MEAD JOHNSON, ENFAMIL, ENFAGROW, SOY, TODD RTF","BABYFOOD,VEG,SWT POTATOES,JR"
69,"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA","INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF","BABYFOOD,DINNER,VEG&HAM,STR"
70,"INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON","INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA","BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR"
71,"INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC","BABYFOOD,PRETZELS","INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,LC,NOT RECON"
72,"INF FORMULA, ABB NUTR, SIMI, ISOMI, ADVAN W/ IRO ,PD,NOT REC","BABYFOOD,DINNER,MXD VEG,JR","BABYFOOD,DINNER,VEG&HAM,STR"
73,"INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,LIQ CONC","BABYFOOD,BANANA APPL DSSRT,STR","BABYFOOD,MEAT,HAM,JUNIOR"
74,"TODDL FORM,ME JOHN,ENFA,PREM (FORME ENL,LIPIL,NEXT STEP),PDR","INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA","BABYFOOD,JUC,ORANGE&APPL"
75,"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN AA,RTF","BABYFOOD,PEAS&BROWN RICE","BABYFOOD,MEAT,LAMB,STR"
76,"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMATURE,20 CAL RTF","BABYFOOD,DINNER,CHICK NOODLE,JR","BABYFOOD,MEAT,HAM,JUNIOR"
77,"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA","BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR","BABYFOOD,JUC,ORANGE&APPL&BANANA"
78,"OIL,WHEAT GERM","OIL,ALMOND","OIL,CANOLA"
79,"MARGARINE,REG,HARD,SOYBN (HYDR)",LARD,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED"
80,"ANIMAL FAT,BACON GREASE","SALAD DRSNG,MAYO,LT","OIL,SOYBN LECITHIN"
81,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,RUSSIAN DRSNG","SALAD DRSNG,SESAME SD DRSNG,REG"
82,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","OIL,AVOCADO","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT"
83,"SALAD DRSNG,POPPYSEED,CREAMY","MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT","SALAD DRSNG,MAYO,IMITN,SOYBN"
84,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD","TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD"
85,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD","TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD"
86,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD","TURKEY,HEART,ALL CLASSES,RAW","CHICKEN,ROASTING,MEAT ONLY,RAW"
87,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,RSTD","TURKEY,GIZZARD,ALL CLASSES,RAW","CHCKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCED,GRILLD"
88,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW","CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD","DUCK,DOMESTICATED,LIVER,RAW"
89,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,FLR","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD","OSTRICH,INSIDE LEG,RAW"
90,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD","TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD"
91,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD","TURKEY,WHL,MEAT ONLY,CKD,RSTD","CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD"
92,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD","TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RSTD"
93,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW","CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,FRIED"
94,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,RSTD","GOOSE,LIVER,RAW","TURKEY,RTL PARTS,THIGH,MEAT & SKN,RAW"
95,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW","TURKEY,HEART,ALL CLASSES,CKD,SIMMRD"
96,"DUCK,DOMESTICATED,MEAT&SKN,CKD,RSTD","TURKEY,WING,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","TURKEY,RTL PARTS,BREAST,MEAT & SKN,CKD,RSTD"
97,"PHEASANT,RAW,MEAT&SKN","OSTRICH,FAN,RAW","TURKEY,FRYER-ROASTERS,MEAT&SKN,CKD,RSTD"
98,"TURKEY,WHL,GIBLETS,RAW","DUCK,WILD,BREAST,MEAT ONLY,RAW","TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW"
99,"TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD","TURKEY,BACK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST"
100,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW","CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW","TURKEY FROM WHL,LT MEAT,MEAT & SKN,CKD,RSTD"
101,"TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW","EMU,GROUND,RAW","TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT & SKN,RAW"
102,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)","CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW","CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW"
103,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE","CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST","TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD"
104,"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD","CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD","TURKEY,WHL,MEAT & SKN,CKD,RSTD"
105,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,CKD,RSTD","QUAIL,MEAT ONLY,RAW","CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,FLR"
106,"TURKEY,ENHANCED,SKN FROM WHL (LIGHT & DARK),RAW","CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR","CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD"
107,"TURKEY,ENHANCED,SKN FROM WHL,(LIGHT & DARK),RSTD","TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD"
108,"TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD","OSTRICH,INSIDE LEG,RAW"
109,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND","CAMPBELL'S SOUP ON THE GO,VEG BF SOUP","CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP"
110,"SOUP,CRM OF CHICK,CND,COND","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND","SAUCE,SALSA,RTS"
111,"SOUP,CHICK W/ RICE,CND,COND","SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER"
112,"SOUP,CHICK VEG,CND,COND","CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP","CAMPBELL'S CHNKY,HEALTHY REQUST MICROWAVBL ,CHICK NODLE SOUP"
113,"CAMPBELL'S,CHEDDAR CHS SOUP,COND","SOUP,CRM OF MUSHROOM,LO NA,RTS,CND","PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS"
114,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND","SOUP,BF & VEG,RED NA,CND,RTS",CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP
115,"SOUP,MUSHROOM BARLEY,CND,COND","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O"
116,"SOUP,CRM OF POTATO,CND,COND","SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",CAMPBELL'S HOMESTYLE LT ITALIAN-STYLE WEDDING SOUP
117,"SOUP,TOMATO RICE,CND,COND","SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND"
118,"SOUP,BEEF BROTH,CUBED,DRY","SWANSON BROTH,VEG BROTH","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND"
119,"CAMPBELL'S RED & WHITE,BF BROTH,COND","CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",CAMPBELL'S MICROWAVABLE BF GRAVY
120,"SAUCE,BARBECUE","SOUP,STOCK,BEEF,HOME-PREPARED","SAUCE,SALSA,RTS"
121,"SAUCE,RTS,PEPPER OR HOT","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","SOUP,CHICK,CND,CHUNKY,RTS"
122,"SAUCE,RTS,PEPPER,TABASCO","CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP","SOUP,CHICK NOODLE,CND,COND"
123,"SAUCE,HOISIN,RTS","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND"
124,"CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND","PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS","CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND"
125,"CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND","SOUP,BF BROTH,CUBED,PREP W/H2O"
126,"PREGO PASTA,FRSH MUSHROOM ITAL SAU,RTS","SOUP,TURKEY,CHUNKY,CND,RTS","CAMPBELL'S,CHUNKY MICRO BOWLS,OLD FASH VEG BF,RTS"
127,"PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS","SOUP,TOMATO,LO NA,W/H2O","SOUP,CHICK NOODLE,RED NA,CND,RTS"
128,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME MILK","CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND","SOUP,BF & VEG,CND,RTS"
129,"CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND","CAMPBELL'S LO NA SOUPS,CHICK BROTH","CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX"
130,CAMPBELL'S GOLDEN PORK GRAVY,"CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS","SOUP,VEG W/ BF BROTH,CND,COND"
131,CAMPBELL'S MUSHROOM GRAVY,"SOUP,CHICK BROTH,CND,COND","CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP"
132,"CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O","CAMPBELL'S RED & WHITE,ITALIAN STYLE W"
133,"CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND","SMART SOUP,THAI COCNT CURRY","CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND"
134,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK","CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP","CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER"
135,"CAMPBELL'S,TOMATO SOUP,COND","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O"
136,"CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND","SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE"
137,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE","CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP"
138,"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP","CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP"
139,"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP","CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP"
140,"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY","PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS","SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O"
141,"CAMPBELL'S SOUP ON THE GO,VEG BF SOUP","SOUP,CHUNKY CHICK NOODLE,CND,RTS","SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS"
142,"PACE,GRN TACO SAU",CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,"CAMPBELL'S,CRM OF POTATO SOUP,COND"
143,"PACE,THICK & CHUNKY SALSA","SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME MILK","CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND"
144,"SAUCE,CHS SAU MIX,DRY","SOUP,CHICK & VEG,CND,RTS","CAMPBELL'S SOUP ON THE GO,HR CHICK W/ MINI NOODLES SOUP"
145,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND","SOUP,VEG BF,CND,COND,SINGLE BRAND","CAMPBELLS RED & WHITE,BF CONSOMME,COND"
146,"GRAVY,BROWN INST,DRY","CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND","PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS"
147,"GRAVY,INST TURKEY,DRY","SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O","SOUP,HEALTHY CHOIC CHICK NOODLE SOUP,CND"
148,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS","SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O","SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS"
149,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O"
150,"PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS","CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O"
151,"BOLOGNA,BF","FRANKFURTER,CHICK","BOLOGNA,MEAT & POULTRY"
152,"CHORIZO,PORK AND BEEF","Frankfurter, meat and poultry, unheated",HAM  HONEY  SMOKED  CKD
153,"PEPPERONI,PORK,BEEF",BLOOD SAUSAGE,"SMOKED LINK SAUSAGE,PORK"
154,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED",SAUSAGE  BERLINER  PORK  BF,"Frankfurter, meat and poultry, unheated"
155,SALAMI  ITALIAN  PORK,"HAM,CHOPPED,CANNED","USDA CMDTY,LUNCHEON MEAT,CND"
156,"BEEF SAUSAGE,PRE-COOKED","TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED","LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)"
157,"Frankfurter, meat and poultry, unheated",HAM  HONEY  SMOKED  CKD,SAUSAGE  BERLINER  PORK  BF
158,"KIELBASA,FULLY CKD,GRILLED","HAM,MINCED","MEATBALLS,FRZ,ITALIAN STYLE"
