,Food label,Subs A,Food Nutri-Value,Subs A Nutri-Value,Subs B,Subs B Nutri-Value
20,"EGG SUBSTITUTE,POWDER","YOGURT,GREEK,PLN,NONFAT",15,-5,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1
21,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,PROVOLONE,RED FAT",20,14,"CHEESE,FRSH,QUESO FRESCO",16
22,"CHEESE,LOFAT,CHEDDAR OR COLBY","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",10,1,"SOUR CREAM,LIGHT",5
23,"SOUR CREAM,LIGHT","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",5,-2,"YOGURT,GREEK,PLN,NONFAT",-5
24,"CHEESE,FRSH,QUESO FRESCO","CHEESE,MUENSTER",16,15,"CHEESE,PROVOLONE,RED FAT",14
25,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",4,-1,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",-4
26,"ALLSPICE,GROUND","THYME,FRSH",-3,-7,DILL SEED,-7
27,"SPICES,BAY LEAF","DILL WEED,DRIED",-4,-5,"PEPPERMINT,FRESH",-7
28,CELERY SEED,ONION POWDER,-3,-5,"PEPPERMINT,FRESH",-7
29,CHILI POWDER,"PEPPER,BLACK",6,-6,"PEPPER,RED OR CAYENNE",-2
30,"CLOVES,GROUND","SPICES,CARDAMOM",1,-7,"MARJORAM,DRIED",-7
31,"CORIANDER LEAF,DRIED","THYME,FRSH",-4,-7,"MARJORAM,DRIED",-7
32,CUMIN SEED,"SPICES,OREGANO,DRIED",-4,-6,"MARJORAM,DRIED",-7
33,"DILL WEED,DRIED","PEPPERMINT,FRESH",-5,-7,CORIANDER SEED,-7
34,"GINGER,GROUND","SPICES,TARRAGON,DRIED",-4,-6,"PEPPERMINT,FRESH",-7
35,"NUTMEG,GROUND","PEPPERMINT,FRESH",8,-7,"ROSEMARY,FRESH",-4
36,ONION POWDER,"SPICES,OREGANO,DRIED",-5,-6,"PEPPERMINT,FRESH",-7
37,POULTRY SEASONING,GARLIC POWDER,-4,-6,"PEPPERMINT,FRESH",-7
38,PUMPKIN PIE SPICE,"ALLSPICE,GROUND",3,-3,"THYME,FRSH",-7
39,"SAGE,GROUND","SAVORY,GROUND",0,-3,"PEPPERMINT,FRESH",-7
40,"SAVORY,GROUND","SPICES,TARRAGON,DRIED",-3,-6,"SPICES,OREGANO,DRIED",-6
41,"BASIL,FRESH","CORIANDER LEAF,DRIED",-2,-4,"MARJORAM,DRIED",-7
42,"VINEGAR,CIDER","CORIANDER LEAF,DRIED",0,-4,"MARJORAM,DRIED",-7
43,"ROSEMARY,FRESH",ONION POWDER,-4,-5,"THYME,FRSH",-7
44,"SPEARMINT,DRIED","SPICES,OREGANO,DRIED",-3,-6,"PEPPERMINT,FRESH",-7
45,"VINEGAR,BALSAMIC","ROSEMARY,FRESH",4,-4,"THYME,FRSH",-7
46,"INF FOR,ME JOH,ENF,NUTR LIPIL,W/ IRO,PDR,NOT RE,W/ ARA & DHA","BABYFOOD,VEG,MIX VEG STR",23,-1,"INF FORMULA,MEAD JOHNSON,ENFAMI,PREMATURE,20 CAL RTF LO IRON",1
47,"INF FORMU,ME JOHNS,ENFAM,NUTRA,LIPI,W/ IRO,RTF,W/ ARA & DHA","BABYFOOD,APPLS W/HAM,STR",1,-1,"BABYFOOD,CARROTS&BF,STR",-4
48,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","BABYFOOD,DSSRT,BANANA YOGURT,STR",22,2,"INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",2
49,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, PDR, NOT RECON","INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR",21,20,"BABYFOOD,MEAT,CHICK,STR",-2
50,"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA","BABYFOOD,GRAPE JUC,NO SUGAR,CND",19,0,"BABYFOOD,VEG,CARROTS,STR",-1
51,"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF","BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",2,0,"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF",1
52,"MARGARINE,REG,HARD,SOYBN (HYDR)","USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",28,20,"OIL,CANOLA",17
53,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,SESAME SD DRSNG,REG",22,20,"SALAD DRSNG,RUSSIAN DRSNG",19
54,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",27,18,"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)",20
55,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,DK MEAT,MEAT & SKN,RAW",5,0,"EMU,FAN FILLET,CKD,BRLD",-4
56,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD","CHICKEN,STEWING,MEAT ONLY,CKD,STWD",2,0,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O",-1
57,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD",2,0,"TURKEY FROM WHL,LT MEAT,RAW",-3
58,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",7,0,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,CKD,BRSD",2
59,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW","PHEASANT,CKD,TOTAL EDIBLE",3,0,"PHEASANT,LEG,MEAT ONLY,RAW",-3
60,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD","TURKEY,LIVER,ALL CLASSES,RAW",3,-2,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",0
61,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O","OSTRICH,TIP RAW",-1,-4,"OSTRICH,OYSTER,RAW",-3
62,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD","CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,STWD",10,-1,"GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES",-4
63,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,RAW","TURKEY,LIVER,ALL CLASSES,RAW",1,-2,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,RSTD",-2
64,"SOUP,CRM OF ASPARAGUS,CND,COND","SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",6,2,"CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP",3
65,"SOUP,CHS,CND,COND","SOUP,MINESTRONE,CND,COND",8,3,"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",-2
66,"SOUP,MUSHROOM W/ BF STOCK,CND,COND","CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",8,0,"PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS",3
67,"SOUP,TOMATO BF W/ NOODLE,CND,COND","SOUP,LENTIL W/HAM,CND,RTS",7,3,"CAMPBELL'S,CRM OF CHICK SOUP,COND",4
68,"SAUCE,RTS,PEPPER OR HOT","SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",10,7,"SAUCE,PIZZA,CND,RTS",0
69,"SAUCE,TERIYAKI,RTS,RED NA",CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP,11,1,"CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND",3
70,CAMPBELL'S TURKEY GRAVY,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",4,-1,"SOUP,STOCK,FISH,HOME-PREPARED",0
71,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND","CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",6,0,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND",4
72,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND","SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",4,-1,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",0
73,"CAMPBELL'S,VEG BF SOUP,COND","SOUP,STOCK,FISH,HOME-PREPARED",3,0,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",-1
74,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","SOUP,BF & VEG,CND,RTS",4,1,"PREGO PASTA,H ST- RSTD RED PR GRLIC ITLIAN SAU,RTS",2
75,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","SAUCE,PIZZA,CND,RTS",7,0,"GRAVY,ONION,DRY,MIX",5
76,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",16,1,"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND",6
77,"BOLOGNA,BF","PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED",18,16,"BOLOGNA,MEAT & POULTRY",15
78,SALAMI  CKD  BF,FRANKFURTER  MEAT,17,15,"HAM,MINCED",15
79,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK","FRANKFURTER,PORK",19,15,"SANDWICH SPREAD,PORK,BEEF",13
80,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)","TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",17,5,SAUSAGE  BERLINER  PORK  BF,13
81,"BEEF SAUSAGE,PRE-COOKED","LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",19,17,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",5
82,"KIELBASA,FULLY CKD,GRILLED","SMOKED LINK SAUSAGE,PORK",18,16,"MEATBALLS,FRZ,ITALIAN STYLE",10
83,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES","CEREALS RTE,OAT BRAN FLAKES,HEALTH VALLEY",20,2,"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY",6
84,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES","CEREALS RTE,QUAKER,MAPLE BROWN SUGAR LIFE CRL",5,4,"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",-1
85,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS","CEREALS RTE,GENERAL MILLS,OAT CLUSTER CHEERIOS CRUNCH",14,5,"CEREALS RTE,GENERAL MILLS,FIBER ONE BRAN CRL",-4
86,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL","CEREALS RTE,POST,SHREDDED WHEAT,ORIGINAL BIG BISCUIT",12,-6,"CEREALS RTE,POST BRAN FLAKES",3
87,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS","CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",14,-2,"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",1
88,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)","BLUEBERRIES,RAW",1,0,"PEACHES,RAW",0
89,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW",2,-2,"FIGS,CND,H2O PK,SOL&LIQUIDS",0
90,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",4,0,"KIWIFRUIT,GRN,RAW",-2
91,"BANANAS,DEHYD,OR BANANA PDR","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",7,3,"FIGS,DRIED,STEWED",2
92,"CHERRIES,TART,DRIED,SWTND","CRANBERRIES,DRIED,SWTND",12,8,"APPLES,CND,SWTND,SLICED,DRND,HTD",1
93,"CRANBERRIES,DRIED,SWTND","BLUEBERRIES,DRIED,SWTND",8,7,"LIME JUICE,RAW",0
94,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",2,0,"KIWIFRUIT,GRN,RAW",-2
95,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",3,0,"KIWIFRUIT,GRN,RAW",-2
96,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW","BOYSENBERRIES,FRZ,UNSWTND",3,-4,"BLACKBERRIES,FRZ,UNSWTND",-3
97,"LITCHIS,RAW","PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",2,1,"TANGERINES,(MANDARIN ORANGES),CND,JUC PK",1
98,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)","PINEAPPLE,CND,JUC PK,SOL&LIQUIDS",7,3,"FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS",0
99,"TANGERINE JUICE,RAW","PEACHES,CND,JUC PK,SOL&LIQUIDS",2,1,"PEARS,CND,JUC PK,SOL&LIQUIDS",1
100,"PAPAYA NECTAR,CANNED","APPLES,CND,SWTND,SLICED,DRND,HTD",3,1,"POMEGRANATE JUC,BTLD",2
101,"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS",3,2,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
102,"PEACHES,DRIED,SULFURED,UNCKD","PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS",4,3,"PEARS,CND,HVY SYRUP,DRND",1
103,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS","PEACHES,CND,JUC PK,SOL&LIQUIDS",2,1,"PEARS,CND,HVY SYRUP,DRND",1
104,"PEARS,DRIED,SULFURED,UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",7,3,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
105,"PEAR NECTAR,CND,WO/ VIT C","PEACH NECTAR,CND,WO/ VIT C",3,2,"PERSIMMONS,JAPANESE,RAW",-1
106,"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS","PINEAPPLE,RAW,ALL VAR",2,1,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",1
107,"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS","PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",3,1,"PINEAPPLE,RAW,ALL VAR",1
108,"PINEAPPLE,FRZ,CHUNKS,SWTND","BLACKBERRIES,RAW",4,-4,"STRAWBERRIES,RAW",-1
109,"PINEAPPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C","CHERRIES,SOUR,RED,FRZ,UNSWTND",2,1,"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",1
110,"PLUMS,RAW","RASPBERRIES,RAW",1,-5,"BLUEBERRIES,RAW",0
111,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS","PEARS,CND,JUC PK,SOL&LIQUIDS",2,1,"PEARS,CND,LT SYRUP PK,SOL&LIQUIDS",1
112,"PLUMS,DRIED (PRUNES),UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",4,3,"FIGS,DRIED,STEWED",2
113,"RAISINS,SEEDLESS","CRANBERRIES,DRIED,SWTND",9,8,"BLUEBERRIES,DRIED,SWTND",7
114,"RASPBERRIES,CND,RED,HVY SYRUP PK,SOL&LIQUIDS","BOYSENBERRIES,FRZ,UNSWTND",2,-4,"BLACKBERRIES,FRZ,UNSWTND",-3
115,"RASPBERRIES,FRZ,RED,SWTND","BLACKBERRIES,FRZ,UNSWTND",1,-3,"BOYSENBERRIES,FRZ,UNSWTND",-4
116,"STRAWBERRIES,RAW","BLACKBERRIES,RAW",-1,-4,"LOGANBERRIES,FROZEN",-4
117,"STRAWBERRIES,FRZ,UNSWTND","BOYSENBERRIES,FRZ,UNSWTND",-1,-4,"BLACKBERRIES,FRZ,UNSWTND",-3
118,"PEACHES,CND,HVY SYRUP,DRND","PEARS,CND,JUC PK,SOL&LIQUIDS",2,1,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
119,"PLUMS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",4,1,"TANGERINE JUICE,RAW",2
120,"DATES,MEDJOOL","BLUEBERRIES,RAW",7,0,"RAISINS,SEEDED",-3
121,"MANGO NECTAR,CND","GRAPEFRUIT JUC,WHITE,CND,UNSWTND",2,1,"PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",1
122,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C","GRAPEFRUIT JUC,WHITE,CND,UNSWTND",2,1,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
123,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA","Grapes, muscadine, raw",2,-4,"FIGS,RAW",0
124,ORANGE PNAPPL JUC BLEND,"PEACHES,CND,JUC PK,SOL&LIQUIDS",2,1,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND",1
125,"PORK,FRSH,CARCASS,LN&FAT,RAW","PORK,FRSH,LOIN,SIRLOIN (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",9,1,"PORK,GROUND,96% LN / 4% FAT,CKD,PAN-BROILED",-2
126,"PORK,FRSH,FAT,RAW","PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,RAW",12,-1,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BONE-IN,CKD,BRLD",3
127,"PORK,FRSH,SHLDR,ARM PICNIC,LN,CKD,RSTD","PORK,FRSH,COMP OF RTL CUTS (LEG,LOIN,&SHLDR),LN,CKD",1,0,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",-3
128,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD","PORK,FRSH,SHLDR,ARM PICNIC,LN,RAW",2,-3,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRLD",1
129,"PORK,CURED,BRKFST STRIPS,RAW OR UNHTD","PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",19,1,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,CKD,BRLD",-1
130,"PORK,CURED,SHLDR,BLADE ROLL,LN&FAT,RSTD","PORK,SHLDR,PETITE TENDER,BNLESS,LN & FAT,CKD,BRLD",16,-3,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN&FAT,CKD,RSTD",-1
131,"PORK,CURED,HAM,BNLESS,EX LN&REG,RSTD","PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN,RAW",9,-4,"PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",-2
132,"PORK,CURED,BACON,CKD,BKD","PORK,CURED,SHLDR,ARM PICNIC,LN&FAT,RSTD",21,15,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,FEET,RAW",1
133,"PORK,CURED,BACON,PRE-SLICED,CKD,PAN-FRIED","PORK,FRSH,COMP OF RTL CUTS (LEG,LOIN,&SHLDR),LN,CKD",20,0,"PORK,FRSH,SHLDR,ARM PICNIC,LN,CKD,RSTD",1
134,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN,UNHTD","PORK,FRSH,LOIN,BLADE (ROASTS),BNLESS,LN,CKD,RSTD",6,-1,"PORK,LEG CAP STEAK,BNLESS,LN & FAT,RAW",-3
135,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BONE-IN,LN,UNHTD","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW",7,1,"PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",1
136,"PORK,CURED,HAM,FAT,BNLESS,UNHTD","PORK,GROUND,72% LN / 28% FAT,CKD,PAN-BROILED",18,10,"PORK,CURED,HAM -- H2O ADDED,SLICE,BNLESS,LN,HTD,PAN-BROIL",7
137,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN,CKD,RSTD",10,1,"PORK,SHLDR PETITE TENDER,BNLESS,LN & FAT,RAW",-3
138,"PORK,CURED,HAM -- H2O ADDED,RUMP,BONE-IN,LN & FAT,UNHTD","PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN & FAT,HTD,RSTD",11,8,"PORK,CURED,HAM W/ NAT JUICES,WHL,BNLESS,LN,UNHTD",6
139,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN & FAT,HTD,RSTD","PORK,FRSH,LOIN,BLADE (CHOPS),BNLESS,LN,BNLESS,CKD,BRLD",9,-2,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STKS),LN & FAT,CKD,BRSD",4
140,"PORK,CURED,HAM,RUMP,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LOIN,SIRLOIN (ROASTS),BONE-IN,LN,CKD,RSTD",8,-1,"PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BNLESS,LN,RAW",-2
141,"AMARANTH LEAVES,RAW","ENDIVE,RAW",-1,-3,"SPINACH,RAW",-3
142,"ARROWHEAD,RAW","TARO,RAW",-2,-3,"BURDOCK ROOT,RAW",-3
143,"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT","BAMBOO SHOOTS,CND,DRND SOL",-1,-2,"CABBAGE,SAVOY,RAW",-4
144,"BEET GREENS,RAW","CHIVES,RAW",-2,-4,"TURNIP GREENS,RAW",-3
145,"BROCCOLI,RAW","BRUSSELS SPROUTS,RAW",-3,-6,POTATO FLOUR,-5
146,"BUTTERBUR,(FUKI),RAW","LETTUCE,GRN LEAF,RAW",0,-1,"LETTUCE,COS OR ROMAINE,RAW",-2
147,"CABBAGE,RAW","BRUSSELS SPROUTS,RAW",-2,-6,POTATO FLOUR,-5
148,"CABBAGE,RED,RAW","BRUSSELS SPROUTS,RAW",-2,-6,"BROCCOLI,RAW",-3
149,"CABBAGE,CHINESE (PAK-CHOI),RAW","BRUSSELS SPROUTS,RAW",-1,-6,POTATO FLOUR,-5
150,"CARDOON,RAW","LETTUCE,GRN LEAF,RAW",0,-1,"LETTUCE,COS OR ROMAINE,RAW",-2
151,"CARROTS,RAW","CHIVES,RAW",-1,-4,"BEANS,SNAP,GREEN,RAW",-3
152,"CELERY,CKD,BLD,DRND,WO/SALT","CARROTS,CND,NO SALT ,DRND SOL",0,-1,"YARDLONG BEAN,CKD,BLD,DRND,WO/SALT",-1
153,"CELTUCE,RAW","WINGED BEAN LEAVES,RAW",-1,-3,"CHICORY GREENS,RAW",-5
154,"CHARD,SWISS,RAW","AMARANTH LEAVES,RAW",0,-1,"CHIVES,RAW",-4
155,"CHAYOTE,FRUIT,RAW","SWAMP CABBAGE,(SKUNK CABBAGE),RAW",-1,-2,"BAMBOO SHOOTS,RAW",-3
156,"CHICORY ROOTS,RAW","BURDOCK ROOT,RAW",0,-3,"LOTUS ROOT,RAW",-6
157,"CORIANDER (CILANTRO) LEAVES,RAW","CHIVES,FREEZE-DRIED",-3,-7,"MUSTARD GREENS,RAW",-4
158,"CORN,SWT,YEL,CND,VACUUM PK,REG PK","BEANS,SNAP,YELLOW,RAW",0,-4,"HYACINTH-BEANS,IMMAT SEEDS,RAW",-4
159,"CRESS,GARDEN,RAW","BROCCOLI,RAW",-2,-3,"BRUSSELS SPROUTS,RAW",-6
160,"CUCUMBER,WITH PEEL,RAW","CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",0,-2,"LETTUCE,COS OR ROMAINE,RAW",-2
161,"ENDIVE,RAW","CHIVES,RAW",-3,-4,"SWEET POTATO LEAVES,RAW",-6
