,Food label,Subs A,Subs B,True label
15,"CHEESE,PAST PROCESS,PIMENTO","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",B
16,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",B
17,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MEXICAN,QUESO CHIHUAHUA",A
18,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","CHEESE,LOFAT,CHEDDAR OR COLBY","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",B
19,"CREAM,FLUID,LT WHIPPING","SOUR CREAM,LIGHT","CREAM,SOUR,CULTURED",A
20,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS",ICE CRM SNDWCH,A
21,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",B
22,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",B
23,"MILK,LO NA,FLUID","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",B
24,"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",B
25,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CHEESE,LOFAT,CHEDDAR OR COLBY","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",A
26,"MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",A
27,"CHEESE,GOAT,HARD TYPE","CHEESE,COTTAGE,CRMD,LRG OR SML CURD","YOGURT,GREEK,PLN,NONFAT",B
28,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER",A
29,"CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MONTEREY",A
30,"CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER",A
31,"SOUR CREAM,LIGHT","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","YOGURT,GREEK,PLN,NONFAT",B
32,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,"CHEESE,GOAT,SEMISOFT TYPE","EGG,WHL,RAW,FRZ,SALTED,PAST",B
33,"CHEESE,FRSH,QUESO FRESCO","CHEESE,MOZZARELLA,WHL MILK","CHEESE,MONTEREY",A
34,"ICE CRM,BAR OR STK,CHOC COVERED","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS","CREAM SUB,FLAV,LIQ",A
35,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK","ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",B
36,"CHEESE SPRD,AMERICAN OR CHEDDAR CHS BASE,RED FAT","EGG,WHL,CKD,HARD-BOILED","CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,FAT-FREE",A
37,"ALLSPICE,GROUND",DILL SEED,"ROSEMARY,FRESH",A
38,"SPICES,BAY LEAF","DILL WEED,DRIED","MARJORAM,DRIED",B
39,CELERY SEED,"SPICES,CARDAMOM",DILL SEED,A
40,CHILI POWDER,"PEPPER,RED OR CAYENNE","SPICES,CARDAMOM",B
41,"CLOVES,GROUND","ALLSPICE,GROUND","SPICES,CARDAMOM",B
42,"CORIANDER LEAF,DRIED","PEPPERMINT,FRESH",DILL SEED,B
43,CUMIN SEED,ANISE SEED,"SPICES,CARDAMOM",B
44,"DILL WEED,DRIED","SPICES,TARRAGON,DRIED","MARJORAM,DRIED",B
45,FENNEL SEED,DILL SEED,"THYME,FRSH",B
46,"GINGER,GROUND","PEPPERMINT,FRESH","SPICES,TARRAGON,DRIED",A
47,"NUTMEG,GROUND","SPICES,TARRAGON,DRIED","MARJORAM,DRIED",B
48,"SPICES,OREGANO,DRIED","SPICES,CARDAMOM","THYME,FRSH",B
49,POULTRY SEASONING,"MARJORAM,DRIED","SPICES,TARRAGON,DRIED",A
50,PUMPKIN PIE SPICE,ONION POWDER,"ALLSPICE,GROUND",A
51,SAFFRON,"PEPPER,WHITE","PEPPER,BLACK",A
52,"SAGE,GROUND",DILL SEED,GARLIC POWDER,A
53,"SAVORY,GROUND",FENNEL SEED,"THYME,FRSH",B
54,"SPICES,THYME,DRIED",FENNEL SEED,"MARJORAM,DRIED",B
55,"BASIL,FRESH","SPICES,OREGANO,DRIED",DILL SEED,B
56,"ROSEMARY,FRESH","SPICES,OREGANO,DRIED","THYME,FRSH",B
57,"SPEARMINT,DRIED","MARJORAM,DRIED","SPICES,TARRAGON,DRIED",A
58,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS","INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA","BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR",B
59,"BABYFOOD,MEAT,MEAT STKS,JR","BABYFOOD,VEG,PEAS,STR","BABYFOOD,JUC,APPL&CHERRY",A
60,"BABYFOOD,JUC,MXD FRUIT","BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR","BABYFOOD,MEAT,LAMB,JUNIOR",B
61,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN","INF FORMULA, ABBO NUTR,SIMIL,ISOMIL, ADVANCE W/ IRON,RTF","BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR",A
62,"INF FORM,ME JOHNS,ENFAM,LIP,LO IRON,LIQ CONC,W/ ARA & DHA","INF FORMULA,MEJOHN,PROSOBE LIPI,W/ IRO,RE TO FE,W/ ARA & DHA","BABYFOOD,MEAT,CHICK,JR",B
63,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON","INF FORMULA, GERBER, GOOD START 2,PROTECT PLUS, RTF","BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",A
64,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","BABYFOOD,DSSRT,PEACH MELBA,STR","BABYFD,FRU,BAN AND STRAW, JU",A
65,"INFFORMULA, MEAD JOHNS,ENFAMIL,PROSOB,LIPI,LC,NOTREC,ARA&DHA","BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR","INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC",A
66,"INF FORMULA,NESTLE,GOOD START SOY,W/ ARA & DHA,PDR","BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR","INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT",B
67,"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,PDR","BABYFOOD,CRL,EGG YOLKS&BACON,JR","INF FORMULA, AB NUT, SIM, SP CA, ADV 24,W/ IR, RT,W/ AR & DH",A
68,"INF FORMULA, MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON","BABYFOOD,VEG,SWT POTATOES,JR","INF FORMULA, MEAD JOHNSON, ENFAMIL, ENFAGROW, SOY, TODD RTF",A
69,"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA","BABYFOOD,DINNER,VEG&HAM,STR","INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF",A
70,"INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON","INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA","BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR",A
71,"INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC","INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,LC,NOT RECON","BABYFOOD,PRETZELS",B
72,"INF FORMULA, ABB NUTR, SIMI, ISOMI, ADVAN W/ IRO ,PD,NOT REC","BABYFOOD,DINNER,MXD VEG,JR","BABYFOOD,DINNER,VEG&HAM,STR",B
73,"INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,LIQ CONC","BABYFOOD,BANANA APPL DSSRT,STR","BABYFOOD,MEAT,HAM,JUNIOR",B
74,"TODDL FORM,ME JOHN,ENFA,PREM (FORME ENL,LIPIL,NEXT STEP),PDR","INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA","BABYFOOD,JUC,ORANGE&APPL",B
75,"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN AA,RTF","BABYFOOD,PEAS&BROWN RICE","BABYFOOD,MEAT,LAMB,STR",A
76,"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMATURE,20 CAL RTF","BABYFOOD,DINNER,CHICK NOODLE,JR","BABYFOOD,MEAT,HAM,JUNIOR",B
77,"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA","BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR","BABYFOOD,JUC,ORANGE&APPL&BANANA",A
78,"OIL,WHEAT GERM","OIL,ALMOND","OIL,CANOLA",B
79,"MARGARINE,REG,HARD,SOYBN (HYDR)",LARD,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",B
80,"ANIMAL FAT,BACON GREASE","OIL,SOYBN LECITHIN","SALAD DRSNG,MAYO,LT",B
81,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,SESAME SD DRSNG,REG","SALAD DRSNG,RUSSIAN DRSNG",B
82,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","OIL,AVOCADO","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",B
83,"SALAD DRSNG,POPPYSEED,CREAMY","MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT","SALAD DRSNG,MAYO,IMITN,SOYBN",B
84,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",B
85,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD","TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD",A
86,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD","CHICKEN,ROASTING,MEAT ONLY,RAW","TURKEY,HEART,ALL CLASSES,RAW",A
87,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,RSTD","CHCKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCED,GRILLD","TURKEY,GIZZARD,ALL CLASSES,RAW",B
88,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW","DUCK,DOMESTICATED,LIVER,RAW","CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD",A
89,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,FLR","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD","OSTRICH,INSIDE LEG,RAW",B
90,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD","TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",A
91,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD","TURKEY,WHL,MEAT ONLY,CKD,RSTD","CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD",B
92,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RSTD","CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD",B
93,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW","CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,FRIED",A
94,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,RSTD","GOOSE,LIVER,RAW","TURKEY,RTL PARTS,THIGH,MEAT & SKN,RAW",A
95,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD","TURKEY,HEART,ALL CLASSES,CKD,SIMMRD","CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW",B
96,"DUCK,DOMESTICATED,MEAT&SKN,CKD,RSTD","TURKEY,RTL PARTS,BREAST,MEAT & SKN,CKD,RSTD","TURKEY,WING,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",B
97,"PHEASANT,RAW,MEAT&SKN","TURKEY,FRYER-ROASTERS,MEAT&SKN,CKD,RSTD","OSTRICH,FAN,RAW",B
98,"TURKEY,WHL,GIBLETS,RAW","DUCK,WILD,BREAST,MEAT ONLY,RAW","TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW",A
99,"TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD","TURKEY,BACK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",A
100,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW","TURKEY FROM WHL,LT MEAT,MEAT & SKN,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW",B
101,"TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW","TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT & SKN,RAW","EMU,GROUND,RAW",B
102,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)","CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW","CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",B
103,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE","TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",B
104,"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD","CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD","TURKEY,WHL,MEAT & SKN,CKD,RSTD",A
105,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,FLR","QUAIL,MEAT ONLY,RAW",B
106,"TURKEY,ENHANCED,SKN FROM WHL (LIGHT & DARK),RAW","CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR",B
107,"TURKEY,ENHANCED,SKN FROM WHL,(LIGHT & DARK),RSTD","TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",B
108,"TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD","OSTRICH,INSIDE LEG,RAW","DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD",A
109,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND","CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP","CAMPBELL'S SOUP ON THE GO,VEG BF SOUP",A
110,"SOUP,CRM OF CHICK,CND,COND","SAUCE,SALSA,RTS","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",B
111,"SOUP,CHICK W/ RICE,CND,COND","CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER","SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",A
112,"SOUP,CHICK VEG,CND,COND","CAMPBELL'S CHNKY,HEALTHY REQUST MICROWAVBL ,CHICK NODLE SOUP","CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",A
113,"CAMPBELL'S,CHEDDAR CHS SOUP,COND","SOUP,CRM OF MUSHROOM,LO NA,RTS,CND","PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS",A
114,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND","SOUP,BF & VEG,RED NA,CND,RTS",CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,A
115,"SOUP,MUSHROOM BARLEY,CND,COND","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","SOUP,CHICK,CND,CHUNKY,RTS",B
116,"SOUP,CRM OF POTATO,CND,COND","SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",CAMPBELL'S HOMESTYLE LT ITALIAN-STYLE WEDDING SOUP,B
117,"SOUP,TOMATO RICE,CND,COND","SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",B
118,"SOUP,BEEF BROTH,CUBED,DRY","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND","SWANSON BROTH,VEG BROTH",A
119,"CAMPBELL'S RED & WHITE,BF BROTH,COND","CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",CAMPBELL'S MICROWAVABLE BF GRAVY,A
120,"SAUCE,BARBECUE","SOUP,STOCK,BEEF,HOME-PREPARED","SAUCE,SALSA,RTS",A
121,"SAUCE,RTS,PEPPER OR HOT","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",A
122,"SAUCE,RTS,PEPPER,TABASCO","CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP","SOUP,CHICK NOODLE,CND,COND",A
123,"SAUCE,HOISIN,RTS","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",A
124,"CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND","CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND","PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",A
125,"CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND","SOUP,BF BROTH,CUBED,PREP W/H2O",B
126,"PREGO PASTA,FRSH MUSHROOM ITAL SAU,RTS","SOUP,TURKEY,CHUNKY,CND,RTS","CAMPBELL'S,CHUNKY MICRO BOWLS,OLD FASH VEG BF,RTS",B
127,"PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS","SOUP,CHICK NOODLE,RED NA,CND,RTS","SOUP,TOMATO,LO NA,W/H2O",A
128,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME MILK","SOUP,BF & VEG,CND,RTS","CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND",B
129,"CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND","CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX","CAMPBELL'S LO NA SOUPS,CHICK BROTH",A
130,CAMPBELL'S GOLDEN PORK GRAVY,"SOUP,VEG W/ BF BROTH,CND,COND","CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS",B
131,CAMPBELL'S MUSHROOM GRAVY,"CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP","SOUP,CHICK BROTH,CND,COND",A
132,"CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND","CAMPBELL'S RED & WHITE,ITALIAN STYLE W","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",B
133,"CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND","CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND","SMART SOUP,THAI COCNT CURRY",B
134,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK","CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP","CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER",B
135,"CAMPBELL'S,TOMATO SOUP,COND","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","SOUP,CHICK,CND,CHUNKY,RTS",B
136,"CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND","SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",B
137,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",B
138,"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP","CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",B
139,"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O","CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP","CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",B
140,"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY","PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS","SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",B
141,"CAMPBELL'S SOUP ON THE GO,VEG BF SOUP","SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS","SOUP,CHUNKY CHICK NOODLE,CND,RTS",A
142,"PACE,GRN TACO SAU",CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,"CAMPBELL'S,CRM OF POTATO SOUP,COND",A
143,"PACE,THICK & CHUNKY SALSA","SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME MILK","CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND",A
144,"SAUCE,CHS SAU MIX,DRY","SOUP,CHICK & VEG,CND,RTS","CAMPBELL'S SOUP ON THE GO,HR CHICK W/ MINI NOODLES SOUP",B
145,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND","SOUP,VEG BF,CND,COND,SINGLE BRAND","CAMPBELLS RED & WHITE,BF CONSOMME,COND",A
146,"GRAVY,BROWN INST,DRY","CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND","PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS",A
147,"GRAVY,INST TURKEY,DRY","SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O","SOUP,HEALTHY CHOIC CHICK NOODLE SOUP,CND",B
148,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS","SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS","SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",A
149,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,CHICK,CND,CHUNKY,RTS","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",A
150,"PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O","CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP",A
151,"BOLOGNA,BF","FRANKFURTER,CHICK","BOLOGNA,MEAT & POULTRY",A
152,"CHORIZO,PORK AND BEEF",HAM  HONEY  SMOKED  CKD,"Frankfurter, meat and poultry, unheated",A
153,"PEPPERONI,PORK,BEEF",BLOOD SAUSAGE,"SMOKED LINK SAUSAGE,PORK",B
154,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED","Frankfurter, meat and poultry, unheated",SAUSAGE  BERLINER  PORK  BF,B
155,SALAMI  ITALIAN  PORK,"USDA CMDTY,LUNCHEON MEAT,CND","HAM,CHOPPED,CANNED",A
