,u,v,Food id,Substitution id,Scores,Scores (Sigmoid),Food label,Substitution label,Food Nutri-Value,Substitution Nutri-Value
2311,19,5942,http://idea.rpi.edu/heals/kb/usda#01020,http://idea.rpi.edu/heals/kb/usda#18374,0.33501676,0.58297956,"CHEESE,FONTINA","LEAVENING AGENTS,YEAST,BAKER'S,COMPRESSED",17,-9
2057,22,201,http://idea.rpi.edu/heals/kb/usda#01023,http://idea.rpi.edu/heals/kb/usda#01236,1.3485253,0.79388845,"CHEESE,GRUYERE","ICE CRM,SOFT SERVE,CHOC",17,11
2004,22,5091,http://idea.rpi.edu/heals/kb/usda#01023,http://idea.rpi.edu/heals/kb/usda#16375,1.664015,0.84077626,"CHEESE,GRUYERE","LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,CKD,BLD,W/SALT",17,-7
2473,31,82,http://idea.rpi.edu/heals/kb/usda#01032,http://idea.rpi.edu/heals/kb/usda#01089,-0.82841146,0.30398107,"CHEESE,PARMESAN,GRATED","MILK,LO NA,FLUID",20,1
7453,31,4856,http://idea.rpi.edu/heals/kb/usda#01032,http://idea.rpi.edu/heals/kb/usda#16017,0.594501,0.6443972,"CHEESE,PARMESAN,GRATED","BEANS,BLACK TURTLE,MATURE SEEDS,CKD,BLD,WO/ SALT",20,-9
2005,35,1091,http://idea.rpi.edu/heals/kb/usda#01036,http://idea.rpi.edu/heals/kb/usda#05650,1.087296,0.7478722,"CHEESE,RICOTTA,WHOLE MILK","OSTRICH,OUTSIDE STRIP,CKD",5,-3
2911,35,3460,http://idea.rpi.edu/heals/kb/usda#01036,http://idea.rpi.edu/heals/kb/usda#11720,1.087296,0.7478722,"CHEESE,RICOTTA,WHOLE MILK","BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",5,-5
1096,39,5255,http://idea.rpi.edu/heals/kb/usda#01040,http://idea.rpi.edu/heals/kb/usda#17051,0.5977756,0.6451472,"CHEESE,SWISS","LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,RAW",9,6
2479,39,3712,http://idea.rpi.edu/heals/kb/usda#01040,http://idea.rpi.edu/heals/kb/usda#11978,0.5977756,0.6451472,"CHEESE,SWISS","PEPPERS,ANCHO,DRIED",9,-7
1676,49,3919,http://idea.rpi.edu/heals/kb/usda#01050,http://idea.rpi.edu/heals/kb/usda#13156,0.35948682,0.5889162,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","BEEF,RND,FULL CUT,LN,1/4""FAT,CHOIC,CKD,BRLD",11,-1
1721,49,3920,http://idea.rpi.edu/heals/kb/usda#01050,http://idea.rpi.edu/heals/kb/usda#13158,0.35948682,0.5889162,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","BEEF,RND,FULL CUT,LN,1/4""FAT,SEL,CKD,BRLD",11,-2
1652,50,6599,http://idea.rpi.edu/heals/kb/usda#01052,http://idea.rpi.edu/heals/kb/usda#20063,-1.2407863,0.22429913,"CREAM,FLUID,LT WHIPPING","RYE FLOUR,DARK",12,-6
1652,50,6599,http://idea.rpi.edu/heals/kb/usda#01052,http://idea.rpi.edu/heals/kb/usda#20063,-1.2407863,0.22429913,"CREAM,FLUID,LT WHIPPING","RYE FLOUR,DARK",12,-6
1656,51,2829,http://idea.rpi.edu/heals/kb/usda#01053,http://idea.rpi.edu/heals/kb/usda#10898,-1.0232784,0.2643893,"CREAM,FLUID,HVY WHIPPING","PORK,PICKLED PORK HOCKS",13,10
1655,51,8468,http://idea.rpi.edu/heals/kb/usda#01053,http://idea.rpi.edu/heals/kb/usda#35148,1.0393139,0.73871756,"CREAM,FLUID,HVY WHIPPING","STEW,STMD CORN (NAVAJO)",13,-4
3206,52,3405,http://idea.rpi.edu/heals/kb/usda#01054,http://idea.rpi.edu/heals/kb/usda#11637,-1.1400931,0.24230327,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","RADISHES,WHITE ICICLE,RAW",13,-1
3206,52,3405,http://idea.rpi.edu/heals/kb/usda#01054,http://idea.rpi.edu/heals/kb/usda#11637,-1.1400931,0.24230327,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","RADISHES,WHITE ICICLE,RAW",13,-1
1647,54,5124,http://idea.rpi.edu/heals/kb/usda#01056,http://idea.rpi.edu/heals/kb/usda#16432,-0.54164034,0.3678061,"CREAM,SOUR,CULTURED","TOFU,SALTED&FERMENTED (FUYU),PREP W/CA SULFATE",11,7
2220,54,4910,http://idea.rpi.edu/heals/kb/usda#01056,http://idea.rpi.edu/heals/kb/usda#16072,1.3287439,0.79063284,"CREAM,SOUR,CULTURED","LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,WO/SALT",11,-8
1642,78,5572,http://idea.rpi.edu/heals/kb/usda#01085,http://idea.rpi.edu/heals/kb/usda#17369,1.0945561,0.74923867,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","LAMB,NZ,IMP,LIVER,RAW",-1,-3
3014,78,870,http://idea.rpi.edu/heals/kb/usda#01085,http://idea.rpi.edu/heals/kb/usda#05065,1.0945561,0.74923867,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",-1,-4
1894,81,3340,http://idea.rpi.edu/heals/kb/usda#01088,http://idea.rpi.edu/heals/kb/usda#11527,-0.4590521,0.38721073,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","TOMATOES,GREEN,RAW",1,-1
3213,81,3077,http://idea.rpi.edu/heals/kb/usda#01088,http://idea.rpi.edu/heals/kb/usda#11211,0.056251608,0.5140592,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","EDAMAME,FRZ,UNPREP",1,-9
1636,83,4038,http://idea.rpi.edu/heals/kb/usda#01090,http://idea.rpi.edu/heals/kb/usda#13441,1.9533817,0.8758149,"MILK,DRY,WHL,W/ ADDED VITAMIN D","BEEF,LOIN,TENDERLOIN STK,BNLESS,L & F,0"" FAT,SEL,CKD,GRILLED",23,0
1638,83,4902,http://idea.rpi.edu/heals/kb/usda#01090,http://idea.rpi.edu/heals/kb/usda#16063,1.9533817,0.8758149,"MILK,DRY,WHL,W/ ADDED VITAMIN D","COWPEAS,COMMON (BLKEYES,CRWDR,STHRN),MTURE,CKD,BLD,WO/SALT",23,-8
1740,84,3639,http://idea.rpi.edu/heals/kb/usda#01091,http://idea.rpi.edu/heals/kb/usda#11899,1.7806158,0.8557729,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","YARDLONG BEAN,CKD,BLD,DRND,W/SALT",14,1
1741,84,1351,http://idea.rpi.edu/heals/kb/usda#01091,http://idea.rpi.edu/heals/kb/usda#06252,1.7806158,0.8557729,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS",14,0
1870,88,7896,http://idea.rpi.edu/heals/kb/usda#01095,http://idea.rpi.edu/heals/kb/usda#28025,1.5447811,0.8241587,"MILK,CND,COND,SWTND","KELLOGG'S,EGGO,THICK & FLUFFY,WAFFLES,BROWN SUGAR",16,10
7381,88,3280,http://idea.rpi.edu/heals/kb/usda#01095,http://idea.rpi.edu/heals/kb/usda#11450,2.2118447,0.9013081,"MILK,CND,COND,SWTND","SOYBEANS,GREEN,RAW",16,-8
1700,89,3491,http://idea.rpi.edu/heals/kb/usda#01096,http://idea.rpi.edu/heals/kb/usda#11751,2.0441644,0.8853566,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",4,1
1703,89,5688,http://idea.rpi.edu/heals/kb/usda#01096,http://idea.rpi.edu/heals/kb/usda#18059,2.0441644,0.8853566,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","BREAD,RICE BRAN",4,-4
7386,107,499,http://idea.rpi.edu/heals/kb/usda#01118,http://idea.rpi.edu/heals/kb/usda#03704,-0.002424146,0.49939397,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK",-2,-2
7388,107,5397,http://idea.rpi.edu/heals/kb/usda#01118,http://idea.rpi.edu/heals/kb/usda#17193,-0.002424146,0.49939397,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","VEAL,VAR MEATS&BY-PRODUCTS,HEART,RAW",-2,-3
7105,112,4997,http://idea.rpi.edu/heals/kb/usda#01123,http://idea.rpi.edu/heals/kb/usda#16172,-0.013517173,0.49662077,"EGG,WHL,RAW,FRSH","REFRIED BNS,CND,FAT-FREE",0,-3
1037,112,3702,http://idea.rpi.edu/heals/kb/usda#01123,http://idea.rpi.edu/heals/kb/usda#11967,0.46244648,0.61359435,"EGG,WHL,RAW,FRSH","CAULIFLOWER,GRN,CKD,NO SALT ADDED",0,-4
8787,113,5074,http://idea.rpi.edu/heals/kb/usda#01124,http://idea.rpi.edu/heals/kb/usda#16341,2.2301204,0.9029219,"EGG,WHITE,RAW,FRESH","BEANS,PINK,MATURE SEEDS,CKD,BLD,W/SALT",-4,-7
8787,113,5074,http://idea.rpi.edu/heals/kb/usda#01124,http://idea.rpi.edu/heals/kb/usda#16341,2.2301204,0.9029219,"EGG,WHITE,RAW,FRESH","BEANS,PINK,MATURE SEEDS,CKD,BLD,W/SALT",-4,-7
8790,131,8899,http://idea.rpi.edu/heals/kb/usda#01144,http://idea.rpi.edu/heals/kb/usda#43589,2.560496,0.92827547,"EGG SUBSTITUTE,POWDER","CHEESE,SWISS,LOW FAT",15,2
8791,131,1779,http://idea.rpi.edu/heals/kb/usda#01144,http://idea.rpi.edu/heals/kb/usda#07923,3.566851,0.97253126,"EGG SUBSTITUTE,POWDER","BRATWURST,CHICK,CKD",15,-3
7140,139,3947,http://idea.rpi.edu/heals/kb/usda#01156,http://idea.rpi.edu/heals/kb/usda#13331,0.2781555,0.569094,"CHEESE,GOAT,HARD TYPE","BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",14,3
7142,139,5081,http://idea.rpi.edu/heals/kb/usda#01156,http://idea.rpi.edu/heals/kb/usda#16353,0.2781555,0.569094,"CHEESE,GOAT,HARD TYPE","BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,W/SALT",14,-6
2075,148,1770,http://idea.rpi.edu/heals/kb/usda#01168,http://idea.rpi.edu/heals/kb/usda#07914,0.22180632,0.5552254,"CHEESE,LOFAT,CHEDDAR OR COLBY",SAUSAGE  ITALIAN  SWT  LINKS,10,5
2076,148,6556,http://idea.rpi.edu/heals/kb/usda#01168,http://idea.rpi.edu/heals/kb/usda#20013,1.9080114,0.87079555,"CHEESE,LOFAT,CHEDDAR OR COLBY","BULGUR,COOKED",10,-4
1687,156,5034,http://idea.rpi.edu/heals/kb/usda#01179,http://idea.rpi.edu/heals/kb/usda#16248,1.4165894,0.80480313,"SOUR CREAM,LIGHT","SILK MOCHA,SOYMILK",5,0
1688,156,4854,http://idea.rpi.edu/heals/kb/usda#01179,http://idea.rpi.edu/heals/kb/usda#16015,1.4165894,0.80480313,"SOUR CREAM,LIGHT","BEANS,BLACK,MATURE SEEDS,CKD,BLD,WO/SALT",5,-9
1684,159,2926,http://idea.rpi.edu/heals/kb/usda#01184,http://idea.rpi.edu/heals/kb/usda#11005,0.08920802,0.52228725,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR","ARROWHEAD,RAW",-1,-2
1682,159,4328,http://idea.rpi.edu/heals/kb/usda#01184,http://idea.rpi.edu/heals/kb/usda#14068,0.5032979,0.62323403,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR","BEVERAGES,KELLOGG'S SPL K20,PROT H2O MIX",-1,-3
6760,175,3751,http://idea.rpi.edu/heals/kb/usda#01205,http://idea.rpi.edu/heals/kb/usda#12034,1.5663916,0.8272686,"CREAM SUB,FLAV,LIQ","SESAME MEAL,PART DEFATTED",11,8
6763,175,5367,http://idea.rpi.edu/heals/kb/usda#01205,http://idea.rpi.edu/heals/kb/usda#17163,1.5663916,0.8272686,"CREAM SUB,FLAV,LIQ","GAME MEAT,CARIBOU,CKD,RSTD",11,-2
5350,202,48,http://idea.rpi.edu/heals/kb/usda#01237,http://idea.rpi.edu/heals/kb/usda#01049,0.9035401,0.7116765,"ICE CRM,BAR OR STK,CHOC COVERED","CREAM,FLUID,HALF AND HALF",16,7
5351,202,2500,http://idea.rpi.edu/heals/kb/usda#01237,http://idea.rpi.edu/heals/kb/usda#09444,2.9738703,0.9513796,"ICE CRM,BAR OR STK,CHOC COVERED","JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA",16,2
3290,203,3348,http://idea.rpi.edu/heals/kb/usda#01238,http://idea.rpi.edu/heals/kb/usda#11547,2.6136878,0.9317373,ICE CRM SNDWCH,"TOMATO PRODUCTS,CND,PUREE,WO/SALT",7,-1
3291,203,4461,http://idea.rpi.edu/heals/kb/usda#01238,http://idea.rpi.edu/heals/kb/usda#14353,2.6136878,0.9317373,ICE CRM SNDWCH,"TEA,INST,UNSWTND,PDR,DECAFFEINATED",7,-6
3030,238,4991,http://idea.rpi.edu/heals/kb/usda#02001,http://idea.rpi.edu/heals/kb/usda#16164,1.4220134,0.80565387,"ALLSPICE,GROUND","MORI-NU,TOFU,SILKEN,LITE FIRM",-3,-3
8942,238,6558,http://idea.rpi.edu/heals/kb/usda#02001,http://idea.rpi.edu/heals/kb/usda#20015,5.970511,0.9974535,"ALLSPICE,GROUND","CORN BRAN,CRUDE",-3,-8
5884,244,963,http://idea.rpi.edu/heals/kb/usda#02007,http://idea.rpi.edu/heals/kb/usda#05158,2.1264968,0.893452,CELERY SEED,"QUAIL,MEAT ONLY,RAW",-3,-3
6460,244,4842,http://idea.rpi.edu/heals/kb/usda#02007,http://idea.rpi.edu/heals/kb/usda#16001,2.1264968,0.893452,CELERY SEED,"BEANS,ADZUKI,MATURE SEEDS,RAW",-3,-6
9129,246,6782,http://idea.rpi.edu/heals/kb/usda#02009,http://idea.rpi.edu/heals/kb/usda#21065,1.8346407,0.8623137,CHILI POWDER,"FAST FOODS,BURRITO,W/BNS,CHS,&CHILI PEPPERS",6,6
7939,246,1092,http://idea.rpi.edu/heals/kb/usda#02009,http://idea.rpi.edu/heals/kb/usda#05651,1.8346407,0.8623137,CHILI POWDER,"OSTRICH,OYSTER,RAW",6,-3
8933,247,6602,http://idea.rpi.edu/heals/kb/usda#02010,http://idea.rpi.edu/heals/kb/usda#20066,-2.922558,0.05104964,"CINNAMON,GROUND","SEMOLINA,ENRICHED",-4,-5
8971,247,3734,http://idea.rpi.edu/heals/kb/usda#02010,http://idea.rpi.edu/heals/kb/usda#12003,1.0878925,0.7479847,"CINNAMON,GROUND","BREADFRUIT SEEDS,BOILED",-4,-6
6096,248,5574,http://idea.rpi.edu/heals/kb/usda#02011,http://idea.rpi.edu/heals/kb/usda#17371,1.0117233,0.73335725,"CLOVES,GROUND","LAMB,NZ,IMP,GROUND LAMB,RAW",1,1
8927,248,6559,http://idea.rpi.edu/heals/kb/usda#02011,http://idea.rpi.edu/heals/kb/usda#20016,1.5067387,0.81857735,"CLOVES,GROUND","CORN FLR,WHOLE-GRAIN,YEL",1,-5
6455,249,6599,http://idea.rpi.edu/heals/kb/usda#02012,http://idea.rpi.edu/heals/kb/usda#20063,0.62340206,0.6509919,"CORIANDER LEAF,DRIED","RYE FLOUR,DARK",-4,-6
6455,249,6599,http://idea.rpi.edu/heals/kb/usda#02012,http://idea.rpi.edu/heals/kb/usda#20063,0.62340206,0.6509919,"CORIANDER LEAF,DRIED","RYE FLOUR,DARK",-4,-6
8960,251,4651,http://idea.rpi.edu/heals/kb/usda#02014,http://idea.rpi.edu/heals/kb/usda#15071,1.8615952,0.8654828,CUMIN SEED,"ROCKFISH,PACIFIC,MXD SP,CKD,DRY HEAT",-4,-4
3065,251,3086,http://idea.rpi.edu/heals/kb/usda#02014,http://idea.rpi.edu/heals/kb/usda#11222,2.3391042,0.91206425,CUMIN SEED,"DRUMSTICK LEAVES,RAW",-4,-7
6090,259,3055,http://idea.rpi.edu/heals/kb/usda#02022,http://idea.rpi.edu/heals/kb/usda#11181,0.95451236,0.7220217,"MACE,GROUND","CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",5,-2
6094,259,5066,http://idea.rpi.edu/heals/kb/usda#02022,http://idea.rpi.edu/heals/kb/usda#16326,0.95451236,0.7220217,"MACE,GROUND","BEANS,GREAT NORTHERN,MATURE SEEDS,CND,LO NA",5,-7
9104,262,5380,http://idea.rpi.edu/heals/kb/usda#02025,http://idea.rpi.edu/heals/kb/usda#17176,1.1133429,0.75275177,"NUTMEG,GROUND","GAME MEAT,OPOSSUM,CKD,RSTD",8,-2
6104,262,5096,http://idea.rpi.edu/heals/kb/usda#02025,http://idea.rpi.edu/heals/kb/usda#16386,1.689644,0.84417737,"NUTMEG,GROUND","PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT",8,-7
2651,263,5090,http://idea.rpi.edu/heals/kb/usda#02026,http://idea.rpi.edu/heals/kb/usda#16372,2.3263757,0.91103804,ONION POWDER,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,W/SALT",-5,-6
2651,263,5090,http://idea.rpi.edu/heals/kb/usda#02026,http://idea.rpi.edu/heals/kb/usda#16372,2.3263757,0.91103804,ONION POWDER,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,W/SALT",-5,-6
8888,267,6732,http://idea.rpi.edu/heals/kb/usda#02030,http://idea.rpi.edu/heals/kb/usda#20649,1.3438208,0.7931176,"PEPPER,BLACK","WHEAT FLR,WHOLE-GRAIN,SOFT WHEAT",-6,-6
3409,267,5932,http://idea.rpi.edu/heals/kb/usda#02030,http://idea.rpi.edu/heals/kb/usda#18363,2.1938465,0.8996955,"PEPPER,BLACK","TORTILLAS,RTB OR -FRY,CORN",-6,-6
6571,268,7541,http://idea.rpi.edu/heals/kb/usda#02031,http://idea.rpi.edu/heals/kb/usda#23372,0.62666625,0.65173316,"PEPPER,RED OR CAYENNE","BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",-2,-3
6686,268,4879,http://idea.rpi.edu/heals/kb/usda#02031,http://idea.rpi.edu/heals/kb/usda#16040,9.347273,0.99991274,"PEPPER,RED OR CAYENNE","BEANS,PINK,MATURE SEEDS,RAW",-2,-6
8954,272,7486,http://idea.rpi.edu/heals/kb/usda#02035,http://idea.rpi.edu/heals/kb/usda#23317,0.74350405,0.6777616,PUMPKIN PIE SPICE,"BEEF,ASTRLN,GRSSFD,RND,BTTM RND STEAK/RST,BNLS,LN & FAT,RAW",3,-2
8954,272,7486,http://idea.rpi.edu/heals/kb/usda#02035,http://idea.rpi.edu/heals/kb/usda#23317,0.74350405,0.6777616,PUMPKIN PIE SPICE,"BEEF,ASTRLN,GRSSFD,RND,BTTM RND STEAK/RST,BNLS,LN & FAT,RAW",3,-2
6825,274,828,http://idea.rpi.edu/heals/kb/usda#02037,http://idea.rpi.edu/heals/kb/usda#05023,1.597944,0.83173084,SAFFRON,"CHICKEN,GIZZARD,ALL CLASSES,RAW",-4,-4
6825,274,828,http://idea.rpi.edu/heals/kb/usda#02037,http://idea.rpi.edu/heals/kb/usda#05023,1.597944,0.83173084,SAFFRON,"CHICKEN,GIZZARD,ALL CLASSES,RAW",-4,-4
3116,275,8828,http://idea.rpi.edu/heals/kb/usda#02038,http://idea.rpi.edu/heals/kb/usda#43283,0.5543928,0.6351542,"SAGE,GROUND","PHEASANT,CKD,TOTAL EDIBLE",0,0
6226,275,4780,http://idea.rpi.edu/heals/kb/usda#02038,http://idea.rpi.edu/heals/kb/usda#15204,0.5543928,0.6351542,"SAGE,GROUND","PIKE,WALLEYE,CKD,DRY HEAT",0,-4
5918,276,3712,http://idea.rpi.edu/heals/kb/usda#02039,http://idea.rpi.edu/heals/kb/usda#11978,0.57577175,0.6400939,"SAVORY,GROUND","PEPPERS,ANCHO,DRIED",-3,-7
5918,276,3712,http://idea.rpi.edu/heals/kb/usda#02039,http://idea.rpi.edu/heals/kb/usda#11978,0.57577175,0.6400939,"SAVORY,GROUND","PEPPERS,ANCHO,DRIED",-3,-7
8833,277,5096,http://idea.rpi.edu/heals/kb/usda#02041,http://idea.rpi.edu/heals/kb/usda#16386,0.26975805,0.5670335,"SPICES,TARRAGON,DRIED","PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT",-6,-7
8833,277,5096,http://idea.rpi.edu/heals/kb/usda#02041,http://idea.rpi.edu/heals/kb/usda#16386,0.26975805,0.5670335,"SPICES,TARRAGON,DRIED","PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT",-6,-7
7829,278,255,http://idea.rpi.edu/heals/kb/usda#02042,http://idea.rpi.edu/heals/kb/usda#02018,-6.6487412,0.0012939754,"SPICES,THYME,DRIED",FENNEL SEED,-5,-6
7826,278,3719,http://idea.rpi.edu/heals/kb/usda#02042,http://idea.rpi.edu/heals/kb/usda#11985,1.9591937,0.8764457,"SPICES,THYME,DRIED","FIREWEED,LEAVES,RAW",-5,-6
2673,280,295,http://idea.rpi.edu/heals/kb/usda#02044,http://idea.rpi.edu/heals/kb/usda#02066,-3.0827894,0.043822784,"BASIL,FRESH","SPEARMINT,DRIED",-2,-3
5809,280,8410,http://idea.rpi.edu/heals/kb/usda#02044,http://idea.rpi.edu/heals/kb/usda#35049,1.8886832,0.8686053,"BASIL,FRESH","MOOSE,MEAT,RAW (ALASKA NATIVE)",-2,-4
6065,284,3460,http://idea.rpi.edu/heals/kb/usda#02048,http://idea.rpi.edu/heals/kb/usda#11720,1.2317808,0.77413005,"VINEGAR,CIDER","BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",0,-5
6065,284,3460,http://idea.rpi.edu/heals/kb/usda#02048,http://idea.rpi.edu/heals/kb/usda#11720,1.2317808,0.77413005,"VINEGAR,CIDER","BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",0,-5
5970,292,7181,http://idea.rpi.edu/heals/kb/usda#02063,http://idea.rpi.edu/heals/kb/usda#22979,0.48633406,0.6192424,"ROSEMARY,FRESH","KASHI BLACK BEAN MANGO,FRZ,UNPREP",-4,-4
6212,292,5069,http://idea.rpi.edu/heals/kb/usda#02063,http://idea.rpi.edu/heals/kb/usda#16333,0.48633406,0.6192424,"ROSEMARY,FRESH","BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,W/SALT",-4,-7
6296,296,2345,http://idea.rpi.edu/heals/kb/usda#02068,http://idea.rpi.edu/heals/kb/usda#09203,3.0896294,0.95646286,"VINEGAR,RED WINE","ORANGES,RAW,FLORIDA",0,0
6298,296,1164,http://idea.rpi.edu/heals/kb/usda#02068,http://idea.rpi.edu/heals/kb/usda#05725,3.0896294,0.95646286,"VINEGAR,RED WINE","TURKEY,DRUMSTK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",0,-1
6071,297,1011,http://idea.rpi.edu/heals/kb/usda#02069,http://idea.rpi.edu/heals/kb/usda#05286,2.36127,0.91382587,"VINEGAR,BALSAMIC","TURKEY AND GRAVY,FROZEN",4,3
6072,297,2049,http://idea.rpi.edu/heals/kb/usda#02069,http://idea.rpi.edu/heals/kb/usda#08539,2.36127,0.91382587,"VINEGAR,BALSAMIC","CEREALS RTE,KASHI ORGANIC PROMISE,CINN HARVEST",4,-3
